Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
Lord of the Flies,1990,6.4,"30,109","Adventure, Drama, Thriller",90 ,Film,R,-,None,Moderate,Moderate,None,Moderate
Land of the Dead,2005,6.2,"94,652","Horror, Sci-Fi, Thriller",93 ,Film,R,-,Mild,Severe,Severe,Mild,Severe
Texas Chainsaw Massacre,2021,No Rate,No Votes,"Crime, Horror, Thriller",None,Film,R,-,No Rate,No Rate,No Rate,No Rate,No Rate
Resident Evil: Extinction,2007,6.2,"189,208","Action, Horror, Sci-Fi",94 ,Film,R,-,Mild,Severe,Moderate,Mild,Moderate
Superman III,1983,5.0,"68,005","Action, Adventure, Comedy",125 ,Film,PG,-,Mild,Mild,Mild,Moderate,Moderate
Insidious: The Last Key,2018,5.7,"56,678","Horror, Mystery, Thriller",103 ,Film,PG-13,-,None,Moderate,Mild,Mild,Severe
Ninja Assassin,2009,6.3,"70,502","Action, Thriller",99 ,Film,R,-,None,Severe,Severe,Mild,Severe
The Tick,2009,7.4,"16,983","Action, Adventure, Comedy",29 ,Series,TV-MA,22,Mild,Moderate,Moderate,Mild,Moderate
The Last Temptation of Christ,1988,7.5,"54,990",Drama,164 ,Film,R,-,Severe,Severe,None,Mild,Severe
What Ever Happened to Baby Jane?,1962,8.1,"52,998","Drama, Horror, Thriller",134 ,Film,Passed,-,None,Moderate,Mild,Mild,Moderate
Silver Bullet,1985,6.4,"25,886",Horror,95 ,Film,R,-,None,Severe,Moderate,Mild,Moderate
Raise a Glass to Love,2021,7.1,435,"Comedy, Drama, Romance",84 ,Film,TV-G,-,None,None,None,None,None
Candyman: Farewell to the Flesh,1995,5.3,"12,272","Horror, Thriller",95 ,Film,R,-,Moderate,Severe,Moderate,Mild,Severe
Flight of the Navigator,1986,6.9,"46,368","Adventure, Comedy, Family",90 ,Film,PG,-,None,None,Mild,None,None
May,2002,6.6,"35,849","Comedy, Drama, Horror",93 ,Film,R,-,Mild,Severe,Mild,Moderate,Severe
Seishun Buta Yaro wa Bunny Girl-senpai no Yume wo Minai,2002,8.1,"7,651","Animation, Drama, Fantasy",24 ,Series,TV-PG,14,Mild,Mild,Mild,None,None
Guilty Party,2002,5.5,134,"Comedy, Crime, Mystery",30 ,Series,TV-MA,10,No Rate,No Rate,No Rate,No Rate,No Rate
The Glass House,2001,5.8,"35,395","Crime, Drama, Mystery",106 ,Film,PG-13,-,Mild,Moderate,Moderate,Moderate,Moderate
The Incredible Hulk,2001,7.0,"12,817","Action, Adventure, Drama",60 ,Series,TV-PG,82,None,Mild,None,No Rate,Mild
The Kingdom,2007,7.0,"123,127","Action, Drama, Thriller",110 ,Film,R,-,None,Severe,Moderate,Mild,Severe
Get Smart,2007,8.2,"11,755","Action, Adventure, Comedy",25 ,Series,TV-G,139,None,Mild,None,Mild,Mild
Black Death,2010,6.4,"46,612","Action, Drama, History",102 ,Film,R,-,None,Severe,Moderate,Mild,Severe
Drive Angry,2011,5.4,"96,895","Action, Fantasy, Thriller",104 ,Film,R,-,Severe,Severe,Severe,Moderate,Moderate
Sophie's Choice,1982,7.6,"45,979","Drama, Romance",150 ,Film,R,-,Mild,Mild,Moderate,Mild,Severe
Fresh Meat,1982,7.8,"16,737","Comedy, Drama",50 ,Series,TV-MA,30,Moderate,Mild,Severe,Severe,None
Night of the Creeps,1986,6.8,"22,329","Comedy, Horror, Sci-Fi",88 ,Film,R,-,Moderate,Severe,Moderate,Mild,Moderate
Solaris,1972,8.1,"87,031","Drama, Mystery, Sci-Fi",167 ,Film,PG,-,Mild,Mild,None,Mild,Mild
The Unicorn,1972,7.2,"3,858","Comedy, Drama, Family",22 ,Series,TV-PG,31,Mild,None,None,Mild,Mild
The Worst Witch,1972,7.3,"2,188","Family, Fantasy",30 ,Series,TV-Y7,53,None,Severe,No Rate,No Rate,No Rate
Gumihodyeon,1972,8.0,"2,974","Fantasy, Horror, Romance",70 ,Series,None,16,No Rate,No Rate,No Rate,No Rate,No Rate
Sanyangeui sigan,2020,6.3,"4,785","Action, Crime, Drama",134 ,Film,TV-MA,-,None,Severe,Moderate,Moderate,Moderate
Blood & Treasure,2020,6.7,"4,098","Action, Adventure",60 ,Series,TV-14,25,No Rate,No Rate,No Rate,No Rate,No Rate
My Mad Fat Diary,2020,8.4,"16,109","Comedy, Drama, Romance",47 ,Series,TV-MA,16,Moderate,Mild,Moderate,Moderate,Mild
Haseen Dillruba,2021,6.9,"22,564","Crime, Drama, Mystery",135 ,Film,TV-MA,-,Mild,Moderate,Mild,Mild,Moderate
LOL: Last One Laughing Germany,2021,7.8,"2,063","Comedy, Reality-TV",None,Series,None,12,No Rate,No Rate,No Rate,No Rate,No Rate
End of Days,1999,5.8,"108,103","Action, Fantasy, Horror",122 ,Film,R,-,Moderate,Severe,Moderate,Mild,Severe
Teenage Mutant Ninja Turtles,1999,7.9,"32,324","Animation, Action, Adventure",23 ,Series,TV-Y7,193,None,Mild,None,Mild,Mild
'71,2014,7.2,"53,990","Action, Crime, Drama",99 ,Film,R,-,None,Severe,Severe,Mild,Moderate
Mentiras y gordas,2009,3.8,"2,443","Comedy, Drama",107 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Next Friday,2000,6.2,"38,767",Comedy,98 ,Film,R,-,Moderate,Moderate,Severe,Severe,None
Through the Glass Darkly,2020,6.2,674,Thriller,103 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
The Wraith,1986,6.0,"16,019","Action, Horror, Romance",93 ,Film,PG-13,-,Moderate,Mild,Mild,Mild,None
Saving Hope,1986,7.5,"6,557","Drama, Fantasy",43 ,Series,TV-14,85,Moderate,Moderate,Mild,Mild,Moderate
Starman,1984,7.0,"45,271","Romance, Sci-Fi",115 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
Grimsby,2016,6.2,"97,667","Action, Adventure, Comedy",83 ,Film,R,-,Severe,Moderate,Moderate,Moderate,Mild
Vengeance Is Mine,2021,4.6,161,"Action, Thriller",79 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Mozart in the Jungle,2021,8.1,"23,819","Comedy, Drama, Music",29 ,Series,TV-MA,40,Moderate,Mild,Moderate,Moderate,None
Das Cabinet des Dr. Caligari,1920,8.1,"60,601","Fantasy, Horror, Mystery",76 ,Film,Not Rated,-,None,Mild,None,None,Moderate
Good Luck Charlie,1920,7.0,"20,269","Comedy, Drama, Family",22 ,Series,TV-G,98,None,None,None,None,None
Mad God,2021,7.2,239,Animation,83 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Rebel,2021,7.2,"3,181","Crime, Drama",None,Series,TV-14,10,No Rate,No Rate,No Rate,No Rate,No Rate
Bad Candy,2020,3.8,415,"Horror, Thriller",103 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
The Sex Lives of College Girls,2020,No Rate,No Votes,"Comedy, Drama",None,Series,None,10,No Rate,No Rate,No Rate,No Rate,No Rate
Coach,2020,7.0,"6,822","Comedy, Sport",30 ,Series,TV-PG,199,No Rate,No Rate,No Rate,No Rate,No Rate
I onde dager,2021,7.1,"2,165","Action, Comedy, Horror",113 ,Film,TV-MA,-,Mild,Severe,Moderate,Mild,Severe
Sanctuary,2021,7.3,"20,083","Action, Drama, Fantasy",44 ,Series,TV-14,59,Mild,No Rate,Mild,No Rate,Moderate
The Drew Carey Show,2021,6.8,"17,084",Comedy,30 ,Series,TV-PG,233,Mild,Mild,Moderate,Moderate,Mild
But I'm a Cheerleader,1999,6.7,"29,545","Comedy, Drama, Romance",85 ,Film,R,-,Mild,None,Mild,Mild,None
The Light Between Oceans,2016,7.2,"54,706","Drama, Romance",133 ,Film,PG-13,-,Mild,None,None,None,Mild
Necessary Roughness,1991,6.2,"11,324","Comedy, Sport",108 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Mild
Greta,2018,6.0,"31,249","Drama, Mystery, Thriller",98 ,Film,R,-,None,Moderate,Mild,Mild,Moderate
All About Steve,2009,4.8,"41,066","Comedy, Romance",99 ,Film,PG-13,-,Mild,None,Mild,Mild,Moderate
Stigmata,1999,6.2,"66,657",Horror,103 ,Film,R,-,Mild,Severe,Moderate,Mild,Moderate
The Sorcerer's Apprentice,2010,6.1,"157,513","Action, Adventure, Family",109 ,Film,PG,-,None,Mild,None,None,Mild
Me and Earl and the Dying Girl,2015,7.7,"127,512","Comedy, Drama",105 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
The Houses October Built,2014,5.2,"9,102","Horror, Thriller",91 ,Film,Not Rated,-,Moderate,Mild,Moderate,Mild,Severe
Truth Seekers,2020,7.1,"11,513","Comedy, Drama, Fantasy",223 ,Series,TV-14,9,Mild,Moderate,Moderate,Mild,Moderate
Tatort,2020,7.1,"3,313","Crime, Drama, Mystery",90 ,Series,None,1184,No Rate,No Rate,No Rate,No Rate,No Rate
