Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
Rurôni Kenshin: Meiji kenkaku roman tan,2012,7.5,"24,360","Action, Adventure, Drama",134 ,Film,TV-MA,-,None,Moderate,None,Mild,Moderate
Last Tango in Halifax,2012,8.3,"6,259","Comedy, Drama, Romance",60 ,Series,TV-14,24,None,No Rate,No Rate,No Rate,None
Dancer in the Dark,2000,8.0,"106,170","Crime, Drama, Musical",140 ,Film,R,-,None,Moderate,None,Mild,Severe
Payback,1999,7.1,"135,215","Action, Crime, Drama",100 ,Film,R,-,Moderate,Severe,Severe,Moderate,Moderate
Broken Arrow,1996,6.1,"94,865","Action, Adventure, Thriller",108 ,Film,R,-,None,Severe,Moderate,Mild,Moderate
The Widow,2019,6.9,"9,260","Action, Drama, Mystery",60 ,Series,TV-MA,8,Mild,Moderate,Moderate,Mild,No Rate
The SpongeBob Movie: Sponge on the Run,2020,6.0,"15,469","Animation, Adventure, Comedy",91 ,Film,PG,-,None,Mild,None,None,None
On the Basis of Sex,2018,7.1,"32,093","Biography, Drama",120 ,Film,PG-13,-,None,None,Mild,Mild,None
Z,1969,8.3,"25,752","Crime, Drama, History",127 ,Film,M,-,Mild,Moderate,Mild,Mild,Mild
Every Which Way but Loose,1978,6.3,"26,081","Action, Comedy",114 ,Film,PG,-,Moderate,Mild,Moderate,Moderate,Mild
Conan the Destroyer,1984,5.9,"78,308","Action, Adventure, Fantasy",103 ,Film,PG,-,Mild,Moderate,Mild,Mild,Mild
Rugrats,1984,7.4,"33,591","Animation, Adventure, Comedy",30 ,Series,TV-Y,178,Mild,None,None,None,Mild
To the Lake,2019,7.3,"11,280","Drama, Sci-Fi, Thriller",None,Series,TV-MA,9,Moderate,Severe,Moderate,Moderate,Moderate
Universal Soldier,1992,6.0,"86,097","Action, Sci-Fi",102 ,Film,R,-,Mild,Severe,Severe,Mild,Moderate
Sanctuary,1992,7.3,"20,083","Action, Drama, Fantasy",44 ,Series,TV-14,59,Mild,No Rate,Mild,No Rate,Moderate
The Commitments,1991,7.6,"34,240","Comedy, Drama, Music",118 ,Film,R,-,None,Mild,Moderate,Mild,None
Good Grief,1991,7.2,80,Comedy,None,Series,None,7,No Rate,No Rate,No Rate,No Rate,No Rate
The Fog,2005,3.7,"36,203","Horror, Mystery",100 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
Ladyhawke,1985,7.0,"45,460","Adventure, Comedy, Drama",121 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
Peter Pan & Wendy,2022,No Rate,No Votes,"Action, Adventure, Comedy",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Love Advent,2022,4.1,145,Action,2 ,Series,None,110,No Rate,No Rate,No Rate,No Rate,No Rate
Masters of Horror,2022,7.5,"11,875",Horror,60 ,Series,TV-MA,26,Severe,Severe,No Rate,No Rate,No Rate
The Mighty Boosh,2022,8.3,"21,386","Comedy, Fantasy, Musical",30 ,Series,TV-PG,21,Moderate,Mild,Moderate,Moderate,Mild
Sabrina,1995,6.3,"38,872","Comedy, Drama, Romance",127 ,Film,PG,-,None,None,Mild,Mild,None
How It Ends,2021,5.1,"1,452",Comedy,82 ,Film,R,-,None,None,Moderate,Mild,None
Thank You for Smoking,2005,7.6,"216,769","Comedy, Drama",92 ,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild
The Beverly Hillbillies,1993,5.0,"18,032","Comedy, Family",92 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
Errante corazón,2021,7.5,72,Drama,112 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Charlie Wilson's War,2007,7.0,"114,736","Biography, Comedy, Drama",102 ,Film,R,-,Moderate,Moderate,Severe,Moderate,Mild
The Parent Trap,1961,7.2,"20,388","Comedy, Family, Romance",129 ,Film,Passed,-,None,None,None,None,None
Grave Encounters,2011,6.1,"55,445","Horror, Mystery",92 ,Film,Not Rated,-,Mild,Severe,Severe,Mild,Severe
Konda Polam,2021,6.0,205,"Action, Adventure, Drama",142 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
The Angry Birds Movie 2,2019,6.4,"25,624","Animation, Action, Adventure",97 ,Film,PG,-,None,Mild,Mild,None,Mild
Strange Days,1995,7.2,"69,623","Action, Crime, Drama",145 ,Film,R,-,Severe,Severe,Severe,Moderate,Severe
It's Complicated,2009,6.5,"89,447","Comedy, Drama, Romance",121 ,Film,R,-,Mild,None,Mild,Moderate,None
The Bucket List,2007,7.4,"238,140","Adventure, Comedy, Drama",97 ,Film,PG-13,-,Mild,None,Moderate,Mild,Mild
Shirley,2020,6.1,"10,409","Biography, Drama, Mystery",107 ,Film,R,-,Moderate,Mild,Mild,Mild,Moderate
Killjoys,2020,7.2,"21,218","Action, Adventure, Sci-Fi",42 ,Series,TV-MA,50,Moderate,Moderate,Mild,Mild,Mild
I Origins,2014,7.4,"120,534","Drama, Mystery, Romance",106 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
To the Bone,2017,6.8,"44,892",Drama,107 ,Film,TV-MA,-,Mild,None,Moderate,Mild,Moderate
The Fourth Kind,2009,5.9,"76,115","Horror, Mystery, Sci-Fi",98 ,Film,PG-13,-,None,Mild,Mild,None,Moderate
Vinyl,2016,7.8,"22,662","Drama, Music",60 ,Series,TV-MA,10,Moderate,Moderate,Severe,Severe,Mild
"Synecdoche, New York",2008,7.6,"87,559",Drama,124 ,Film,R,-,Moderate,Mild,Moderate,Mild,Severe
Sam & Cat,2008,5.7,"8,455","Comedy, Drama, Family",30 ,Series,TV-G,35,None,Mild,Mild,None,Mild
The Wild Wild West,2008,8.1,"4,814","Action, Adventure, Sci-Fi",50 ,Series,TV-PG,104,No Rate,Mild,No Rate,No Rate,No Rate
My Dear Miss Aldrich,1937,6.2,288,"Comedy, Drama",74 ,Film,Passed,-,No Rate,No Rate,No Rate,No Rate,No Rate
Sisyphus,2017,6.2,71,Fantasy,None,Series,None,16,No Rate,No Rate,No Rate,No Rate,No Rate
Stir of Echoes,1999,7.0,"78,931","Horror, Mystery, Thriller",99 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
Lethal Weapon 2,1989,7.2,"168,523","Action, Crime, Thriller",114 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
The Personal History of David Copperfield,2019,6.4,"17,770","Comedy, Drama",119 ,Film,PG,-,None,Mild,None,Mild,Mild
The Cable Guy,1996,6.1,"159,265","Comedy, Drama, Thriller",96 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Moderate
Polaroid,2019,5.2,"12,840","Drama, Horror, Mystery",88 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
Alexa & Katie,2019,7.5,"3,952","Comedy, Drama",25 ,Series,TV-Y7,40,None,None,None,None,None
Third Watch,2019,7.9,"9,457","Action, Crime, Drama",44 ,Series,TV-14,132,No Rate,Moderate,No Rate,No Rate,No Rate
Ali,2001,6.8,"96,412","Biography, Drama, Sport",157 ,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate
Night of the Comet,1984,6.4,"19,840","Comedy, Horror, Sci-Fi",95 ,Film,PG-13,-,None,Moderate,Moderate,Mild,Mild
Nosferatu: Phantom der Nacht,1979,7.5,"34,446","Drama, Horror",107 ,Film,PG,-,Mild,Mild,None,None,Moderate
Yoga Hosers,2016,4.3,"13,280","Action, Comedy, Fantasy",88 ,Film,PG-13,-,Mild,Mild,Mild,Mild,No Rate
G.I. Jane,1997,6.0,"77,700","Action, Drama, War",125 ,Film,R,-,Mild,Moderate,Moderate,Mild,Mild
Creeped Out,1997,6.6,"1,655","Drama, Family, Fantasy",30 ,Series,TV-Y7,23,Mild,Moderate,Mild,None,Severe
Powder,1995,6.6,"29,633","Drama, Fantasy, Mystery",111 ,Film,PG-13,-,Mild,Mild,Mild,None,Moderate
Aseudal Yeondaegi,1995,8.4,"3,583","Action, Drama, Fantasy",80 ,Series,None,18,No Rate,No Rate,No Rate,No Rate,No Rate
RV,2006,5.5,"58,262","Adventure, Comedy, Family",99 ,Film,PG,-,Mild,Mild,Mild,Mild,None
Robin Hood,1973,7.6,"120,938","Animation, Adventure, Comedy",83 ,Film,G,-,None,Mild,None,Mild,Mild
The Pretender,1973,7.5,"15,400","Drama, Mystery, Sci-Fi",60 ,Series,TV-14,86,No Rate,No Rate,No Rate,No Rate,No Rate
Secret Diary of a Call Girl,1973,7.4,"13,200",Drama,30 ,Series,TV-MA,32,Severe,None,Severe,Moderate,Moderate
The Blob,1958,6.4,"25,022","Horror, Sci-Fi",86 ,Film,Approved,-,None,Mild,None,Mild,Mild
The Kings of Summer,2013,7.1,"79,827","Adventure, Comedy, Drama",95 ,Film,R,-,Mild,Mild,Moderate,Moderate,Mild
El espinazo del diablo,2001,7.4,"63,862","Drama, Horror",106 ,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate
De uskyldige,2021,7.4,351,"Drama, Horror, Thriller",117 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Battlefield Earth,2000,2.5,"78,909","Action, Adventure, Sci-Fi",118 ,Film,PG-13,-,Mild,Moderate,Mild,Moderate,Severe
The Choice,2016,6.6,"38,055","Drama, Romance",111 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
Triple 9,2016,6.3,"70,091","Action, Crime, Thriller",115 ,Film,R,-,Moderate,Severe,Severe,Severe,Moderate
The Loft,2014,6.3,"54,291","Mystery, Romance, Thriller",108 ,Film,R,-,Moderate,Moderate,Moderate,Moderate,Moderate
White Lines,2020,6.6,"15,831","Crime, Drama, Mystery",60 ,Series,TV-MA,10,Severe,Moderate,Severe,Severe,Mild
Don't Look Under the Bed,1999,6.8,"3,010","Family, Fantasy, Horror",100 ,Film,TV-PG,-,Mild,Mild,None,None,Moderate
Whip It,2009,6.9,"65,845","Drama, Sport",111 ,Film,PG-13,-,Mild,Mild,Moderate,Moderate,Mild
Martha Marcy May Marlene,2011,6.9,"51,086","Drama, Mystery, Thriller",102 ,Film,R,-,Severe,Moderate,Severe,Mild,Moderate
A Dangerous Method,2011,6.4,"101,199","Biography, Drama, Romance",99 ,Film,R,-,Severe,Mild,Mild,Mild,Mild
Hagane no renkinjutsushi,2011,8.5,"66,138","Animation, Action, Adventure",24 ,Series,TV-PG,51,Mild,Severe,Mild,Mild,Severe
The Lucky One,2012,6.5,"104,728","Drama, Mystery, Romance",101 ,Film,PG-13,-,Moderate,Mild,Mild,Mild,Mild
Code Black,2012,8.1,"11,266",Drama,42 ,Series,TV-14,47,Mild,Moderate,Mild,Moderate,Severe
"Quo vadis, Aida?",2020,7.9,"26,097","Drama, History, War",101 ,Film,Approved,-,None,Moderate,Mild,Mild,Moderate
Dreamgirls,2006,6.5,"71,858","Drama, Music, Musical",130 ,Film,PG-13,-,None,Mild,Moderate,Moderate,None
I Feel Pretty,2018,5.6,"51,927","Comedy, Romance",110 ,Film,PG-13,-,Moderate,None,Mild,Mild,None
Judge Dredd,1995,5.6,"114,449","Action, Crime, Sci-Fi",96 ,Film,R,-,None,Severe,Mild,Mild,Moderate
V,1995,7.4,"11,337","Action, Adventure, Sci-Fi",60 ,Series,TV-PG,19,Mild,No Rate,No Rate,No Rate,No Rate
Three,2005,4.9,"9,520","Drama, Romance, Thriller",95 ,Film,TV-MA,-,Moderate,Moderate,Moderate,Mild,Moderate
Hart to Hart,2005,6.6,"7,043","Action, Adventure, Crime",60 ,Series,TV-PG,111,No Rate,No Rate,No Rate,No Rate,No Rate
Alter Ego,2005,3.3,163,Reality-TV,None,Series,TV-PG,4,No Rate,No Rate,No Rate,No Rate,No Rate
Above Suspicion,2019,5.6,"4,689","Action, Biography, Crime",104 ,Film,R,-,Mild,Severe,Moderate,Severe,Moderate
Non-Stop,2014,6.9,"257,493","Action, Mystery, Thriller",106 ,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate
Morgan,2016,5.8,"41,457","Action, Horror, Sci-Fi",92 ,Film,R,-,None,Moderate,Moderate,Mild,Moderate
It's a Mad Mad Mad Mad World,1963,7.5,"39,857","Action, Adventure, Comedy",210 ,Film,G,-,None,Mild,None,Mild,None
Llamageddon,2015,4.0,829,"Comedy, Sci-Fi",69 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
The School for Good and Evil,2022,No Rate,No Votes,"Action, Drama, Fantasy",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Arctic,2018,6.8,"47,604","Adventure, Drama",98 ,Film,PG-13,-,None,Mild,Mild,None,Moderate
Holy Motors,2012,7.1,"44,229","Drama, Fantasy",115 ,Film,Not Rated,-,Moderate,Moderate,Mild,Moderate,Moderate
Emerald City,2012,7.2,"12,236","Adventure, Drama, Fantasy",60 ,Series,TV-14,10,Severe,Severe,Severe,Severe,Severe
Turning Red,2022,No Rate,No Votes,"Animation, Adventure, Comedy",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Moosa Jatt,2021,7.7,"1,073",Action,120 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Bakjwi,2009,7.1,"44,827","Drama, Fantasy, Horror",134 ,Film,R,-,Severe,Severe,Moderate,Mild,Severe
Back to the Outback,2021,No Rate,No Votes,"Animation, Adventure, Comedy",92 ,Film,PG,-,No Rate,No Rate,No Rate,No Rate,No Rate
Adoration,2013,6.2,"33,513","Drama, Romance",112 ,Film,R,-,Moderate,Mild,Mild,Moderate,None
Hotel Rwanda,2004,8.1,"344,232","Biography, Drama, History",121 ,Film,PG-13,-,Mild,Severe,Moderate,Mild,Severe
"Good Morning, Vietnam",1987,7.3,"133,415","Biography, Comedy, Drama",121 ,Film,R,-,Mild,Moderate,Moderate,Mild,Mild
Vanderpump Rules,1987,5.5,"2,404",Reality-TV,43 ,Series,TV-14,177,No Rate,No Rate,No Rate,No Rate,No Rate
Transylvania 6-5000,1985,5.0,"7,264","Comedy, Fantasy, Horror",93 ,Film,PG,-,Mild,None,Mild,Mild,None
Push,2009,6.1,"108,416","Action, Sci-Fi, Thriller",111 ,Film,PG-13,-,None,Moderate,Moderate,Moderate,Moderate
Law & Order: UK,2009,7.6,"4,094","Crime, Drama, Mystery",46 ,Series,TV-14,53,Mild,Moderate,Moderate,Mild,No Rate
Selena,1997,6.8,"27,519","Biography, Drama, Music",127 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
Grease 2,1982,4.4,"34,394","Comedy, Drama, Musical",115 ,Film,PG,-,Mild,None,Mild,Mild,Mild
The Jewel of the Nile,1985,6.1,"54,009","Action, Adventure, Comedy",106 ,Film,PG,-,Moderate,Mild,Mild,Mild,Mild
Coupling,1985,8.5,"44,162","Comedy, Romance",30 ,Series,TV-14,28,Mild,None,Moderate,Mild,None
Bungou Stray Dogs,1985,7.8,"4,237","Animation, Action, Comedy",24 ,Series,TV-14,37,Mild,Moderate,Mild,Mild,Moderate
Straw Dogs,1971,7.5,"58,433","Crime, Drama, Thriller",113 ,Film,R,-,Severe,Severe,Mild,Moderate,Severe
Kimbiseoga wae geureolkka,2018,8.1,"8,582","Comedy, Mystery, Romance",60 ,Series,TV-G,16,Mild,None,No Rate,Mild,None
The Third Man,1949,8.1,"165,570","Film-Noir, Mystery, Thriller",104 ,Film,Approved,-,None,Mild,None,Mild,Mild
"Sex, Love & Goop",1949,No Rate,No Votes,"Comedy, Romance, Talk-Show",None,Series,None,1,No Rate,No Rate,No Rate,No Rate,No Rate
Bridget Jones's Baby,2016,6.5,"72,335","Comedy, Drama, Romance",123 ,Film,R,-,Moderate,None,Severe,Moderate,None
The Spectacular Now,2013,7.1,"148,609","Comedy, Drama, Romance",95 ,Film,R,-,Moderate,Mild,Severe,Moderate,Mild
Pink Flamingos,1972,6.1,"23,567","Comedy, Crime",93 ,Film,NC-17,-,Severe,Severe,Severe,Moderate,Severe
The Bureau of Magical Things,1972,6.8,"1,608","Family, Fantasy, Mystery",25 ,Series,TV-G,40,None,None,None,None,None
What Happens in Vegas,2008,6.1,"169,462","Comedy, Romance",99 ,Film,PG-13,-,Moderate,Mild,Mild,Moderate,None
The Postcard Killings,2020,5.8,"8,790","Crime, Drama, Thriller",104 ,Film,Not Rated,-,Mild,Moderate,Moderate,Mild,Moderate
Come True,2020,5.9,"6,462","Horror, Sci-Fi",105 ,Film,Unrated,-,Moderate,Mild,Mild,None,Moderate
LOL: Last One Laughing Germany,2020,7.8,"2,063","Comedy, Reality-TV",None,Series,None,12,No Rate,No Rate,No Rate,No Rate,No Rate
Terms of Endearment,1983,7.4,"57,914","Comedy, Drama",132 ,Film,PG,-,Mild,Mild,Moderate,Moderate,Mild
Trick or Treat,1986,5.9,"6,435","Comedy, Horror, Music",98 ,Film,R,-,Moderate,Moderate,Moderate,None,Mild
The Lair of the White Worm,1988,5.9,"12,054","Comedy, Horror",93 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
Night Moves,1975,7.1,"13,806","Crime, Drama, Mystery",100 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
A Single Man,2009,7.5,"109,529","Drama, Romance",99 ,Film,R,-,Mild,Mild,Mild,Mild,Mild
Big City Greens,2009,7.1,"1,567","Animation, Adventure, Comedy",22 ,Series,TV-Y7,61,None,Mild,None,None,Mild
Dog Soldiers,2002,6.8,"57,828","Action, Horror, Thriller",105 ,Film,R,-,None,Severe,Severe,Mild,Moderate
Queen Bees,2021,6.0,887,"Comedy, Drama, Romance",100 ,Film,PG-13,-,None,None,Mild,Moderate,None
Gladiator 2,2021,No Rate,No Votes,"Action, Adventure, Drama",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Charlotte's Web,2006,6.3,"39,711","Adventure, Comedy, Family",97 ,Film,G,-,None,Mild,None,None,Mild
Being There,1979,8.0,"70,009","Comedy, Drama",130 ,Film,PG,-,Moderate,None,Mild,Mild,None
High Noon,1952,8.0,"101,009","Drama, Thriller, Western",85 ,Film,PG,-,None,Mild,None,Mild,Mild
Rumble,2022,No Rate,No Votes,"Animation, Comedy, Family",None,Film,PG,-,No Rate,No Rate,No Rate,No Rate,No Rate
Pompeii,2014,5.5,"108,932","Action, Adventure, Drama",105 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
Jack Whitehall: Travels with My Father,2014,7.6,"4,867","Documentary, Comedy",30 ,Series,TV-MA,18,Mild,None,Severe,Mild,None
22 July,2018,6.8,"31,745","Crime, Drama, History",143 ,Film,R,-,None,Severe,Moderate,None,Severe
America: The Motion Picture,2021,5.6,"5,365","Animation, Action, Adventure",98 ,Film,TV-MA,-,Moderate,Severe,Severe,Mild,Mild
The American,2010,6.3,"94,755","Action, Crime, Drama",105 ,Film,R,-,Moderate,Moderate,Mild,Mild,Mild
The Young Ones,2010,8.2,"14,246",Comedy,410 ,Series,TV-14,12,Mild,Moderate,Mild,Moderate,Mild
Truth Seekers,2020,7.1,"11,513","Comedy, Drama, Fantasy",223 ,Series,TV-14,9,Mild,Moderate,Moderate,Mild,Moderate
A Bridge Too Far,1977,7.4,"54,647","Drama, History, War",175 ,Film,PG,-,None,Moderate,Moderate,Mild,Moderate
On the Waterfront,1954,8.1,"148,903","Crime, Drama, Thriller",108 ,Film,Approved,-,None,Moderate,None,Mild,Moderate
Hercules: The Legendary Journeys,1954,6.5,"28,825","Action, Adventure, Drama",44 ,Series,TV-G,111,Mild,Moderate,Mild,Mild,Moderate
Man of God,2021,7.2,"1,461","Biography, Drama",109 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
A Perfect World,1993,7.5,"77,453","Crime, Drama, Thriller",138 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
Girls5eva,1993,7.1,"2,097","Comedy, Music",30 ,Series,TV-MA,9,Mild,None,Moderate,Mild,None
Alpha,2018,6.7,"59,238","Action, Adventure, Drama",96 ,Film,PG-13,-,None,Mild,None,None,Moderate
Black Water: Abyss,2020,4.5,"5,190","Action, Drama, Horror",98 ,Film,Not Rated,-,None,Moderate,Moderate,Mild,Moderate
DragonHeart,1996,6.5,"95,021","Action, Adventure, Fantasy",103 ,Film,PG-13,-,None,Moderate,Mild,Mild,Mild
The Secret Life of Pets 2,2019,6.5,"56,847","Animation, Adventure, Comedy",86 ,Film,PG,-,None,Mild,Mild,None,Mild
Dial M for Murder,1954,8.2,"167,287","Crime, Thriller",105 ,Film,PG,-,None,Mild,None,Mild,Moderate
Monamour,2005,5.3,"4,921",Drama,104 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Nothing But Trouble,1991,5.1,"23,688",Comedy,94 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Moderate
Being the Ricardos,1991,No Rate,No Votes,"Biography, Drama",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
The Killing of Two Lovers,2020,7.0,"2,646",Drama,85 ,Film,R,-,None,Mild,Mild,None,None
National Velvet,1944,7.3,"6,836","Drama, Family, Sport",123 ,Film,Passed,-,None,None,None,Mild,Mild
Letters from Iwo Jima,2006,7.9,"158,418","Action, Adventure, Drama",141 ,Film,R,-,None,Severe,Mild,Mild,Moderate
Swamp Thing,1982,5.4,"13,840","Horror, Sci-Fi",91 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
Be Cool,2005,5.6,"68,596","Comedy, Crime, Music",118 ,Film,PG-13,-,Mild,Moderate,Moderate,Moderate,Mild
The Family,2013,6.3,"113,996","Comedy, Crime, Thriller",111 ,Film,R,-,Mild,Severe,Moderate,Moderate,Moderate
My Week with Marilyn,2011,6.9,"85,326","Biography, Drama",99 ,Film,R,-,Mild,None,Moderate,Moderate,Mild
Das Boot,2011,7.4,"6,912","Drama, War",60 ,Series,TV-MA,26,Moderate,Severe,Moderate,Moderate,Moderate
Berlin Station,2011,7.6,"8,223","Drama, Thriller",60 ,Series,TV-MA,29,Moderate,No Rate,Moderate,No Rate,No Rate
Side Hustle,2011,5.7,395,Comedy,22 ,Series,TV-G,33,None,No Rate,No Rate,No Rate,No Rate
Sand Dollar Cove,2021,6.3,685,"Drama, Romance",84 ,Film,TV-G,-,None,None,None,None,None
The Houses October Built,2014,5.2,"9,102","Horror, Thriller",91 ,Film,Not Rated,-,Moderate,Mild,Moderate,Mild,Severe
Alpha Dog,2006,6.9,"101,228","Biography, Crime, Drama",122 ,Film,R,-,Moderate,Moderate,Severe,Severe,Moderate
Top Secret!,1984,7.2,"63,767","Comedy, Crime, Music",90 ,Film,PG,-,Moderate,Mild,Mild,Mild,None
Ek Thi Begum,2020,8.9,"6,038","Crime, Drama",27 ,Series,None,26,No Rate,No Rate,No Rate,No Rate,No Rate
La Reina del Sur,2020,8.0,"2,328","Action, Crime, Drama",378 ,Series,TV-14,124,No Rate,No Rate,No Rate,No Rate,No Rate
Just the Ten of Us,2020,7.0,"1,627","Comedy, Family",30 ,Series,TV-G,48,No Rate,No Rate,No Rate,No Rate,No Rate
The Titan,2018,4.8,"29,901","Drama, Mystery, Romance",97 ,Film,TV-MA,-,Mild,Severe,Moderate,Mild,Moderate
The Golden Child,1986,6.0,"54,371","Action, Adventure, Comedy",94 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Mild
Just One of the Guys,1985,6.5,"15,108","Comedy, Romance",100 ,Film,PG-13,-,Moderate,None,Mild,Mild,None
Oliver!,1968,7.4,"36,689","Drama, Family, Musical",153 ,Film,G,-,None,Moderate,None,Mild,Mild
The Butler,2013,7.2,"112,018","Biography, Drama",132 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
Black Christmas,2006,4.6,"26,200",Horror,95 ,Film,R,-,Moderate,Severe,Severe,Moderate,Severe
Pan Am,2006,7.0,"19,496","Drama, History, Romance",42 ,Series,TV-PG,14,None,Mild,No Rate,No Rate,No Rate
Star Trek V: The Final Frontier,1989,5.5,"58,134","Action, Adventure, Fantasy",107 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
Anatomie,2000,6.0,"12,482","Horror, Thriller",103 ,Film,R,-,Moderate,Severe,Moderate,Mild,Severe
Dogman,2018,7.2,"24,887","Crime, Drama, Thriller",103 ,Film,Not Rated,-,Mild,Severe,Mild,Severe,Moderate
Midnight Express,1978,7.6,"76,805","Biography, Crime, Drama",121 ,Film,R,-,Moderate,Severe,Moderate,Severe,Severe
August Rush,2007,7.5,"105,637","Drama, Music",114 ,Film,PG,-,None,Mild,Mild,None,Mild
Suburgatory,2007,7.2,"31,380",Comedy,22 ,Series,TV-PG,57,Mild,No Rate,Mild,Mild,No Rate
Jiok,2007,6.8,31,"Crime, Drama, Fantasy",150 ,Series,TV-MA,6,No Rate,No Rate,No Rate,No Rate,No Rate
Unlocked,2017,6.3,"33,110","Action, Thriller",98 ,Film,R,-,None,Moderate,Moderate,None,Moderate
Playing with Fire,2019,5.1,"12,843","Comedy, Family",96 ,Film,PG,-,Mild,Mild,None,None,Mild
Cool World,1992,4.9,"22,442","Animation, Comedy, Fantasy",102 ,Film,PG-13,-,Moderate,Mild,Mild,Moderate,Mild
Mainstream,2020,4.9,"1,917","Comedy, Drama",94 ,Film,R,-,Moderate,None,Severe,Mild,Mild
All About Steve,2009,4.8,"41,066","Comedy, Romance",99 ,Film,PG-13,-,Mild,None,Mild,Mild,Moderate
Bloody Hell,2020,6.6,"4,760","Action, Comedy, Horror",93 ,Film,R,-,None,Moderate,Severe,Mild,Moderate
The Newsreader,2020,7.6,634,Drama,None,Series,None,6,No Rate,No Rate,No Rate,No Rate,No Rate
The Mallorca Files,2020,6.6,"1,643","Crime, Drama",45 ,Series,TV-PG,16,None,Mild,Mild,Mild,Mild
Boksuneun naui geot,2002,7.6,"65,920","Crime, Drama, Thriller",129 ,Film,R,-,Moderate,Severe,Moderate,Moderate,Moderate
A Journal for Jordan,2021,No Rate,No Votes,Drama,None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
The Unbearable Lightness of Being,1988,7.3,"35,122","Drama, Romance",171 ,Film,R,-,Severe,Mild,None,Moderate,Mild
Elena Undone,2010,6.1,"5,706","Drama, Romance",111 ,Film,Not Rated,-,Moderate,No Rate,No Rate,No Rate,No Rate
The Tunnel,2010,7.9,"8,386","Crime, Drama, Mystery",60 ,Series,TV-MA,24,Moderate,Moderate,Mild,Moderate,Moderate
The Dukes of Hazzard,2005,5.1,"77,398",Comedy,104 ,Film,PG-13,-,Moderate,Mild,Moderate,Mild,None
The Guard,2011,7.3,"84,037","Comedy, Crime, Thriller",96 ,Film,R,-,Mild,Moderate,Severe,Mild,Mild
Walk Hard: The Dewey Cox Story,2007,6.8,"69,975","Comedy, Music",96 ,Film,R,-,Severe,Moderate,Severe,Severe,Mild
Dronningen,2019,7.1,"9,821",Drama,127 ,Film,NC-17,-,Severe,Mild,Mild,Mild,Moderate
Passions,2019,6.2,"4,461",Drama,60 ,Series,TV-14,1608,No Rate,No Rate,No Rate,No Rate,No Rate
Shivers,1975,6.4,"20,088","Horror, Sci-Fi",87 ,Film,R,-,Severe,Severe,Mild,Mild,Moderate
Taking Lives,2004,6.2,"86,632","Crime, Mystery, Thriller",103 ,Film,R,-,Moderate,Severe,Moderate,Mild,Moderate
Krull,1983,6.1,"31,840","Action, Adventure, Fantasy",116 ,Film,PG,-,None,Mild,None,None,Moderate
Monsters vs. Aliens,2009,6.4,"154,051","Animation, Action, Adventure",94 ,Film,PG,-,None,Mild,None,None,Mild
Papurika,2006,7.7,"77,121","Animation, Drama, Fantasy",90 ,Film,R,-,Moderate,Moderate,None,Mild,Moderate
Naked Lunch,1991,7.0,"49,514",Drama,115 ,Film,R,-,Moderate,Moderate,Moderate,Severe,Severe
Mom and Dad,2017,5.5,"22,391","Comedy, Horror, Thriller",86 ,Film,R,-,Moderate,Severe,Severe,Moderate,Severe
